"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","doJOZc","W4Efsd 5","W4Efsd 6"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/The+Dental+Care+clinic/data=!4m7!3m6!1s0x38df963895555553:0x5489bc125a6e1a19!8m2!3d33.6457102!4d72.9637103!16s%2Fg%2F11gg_tmdms!19sChIJU1VVlTiW3zgRGRpuWhK8iVQ?authuser=0&hl=en&rclk=1","The Dental Care clinic","4.7","(121)","Dental clinic","·","Street 110, IDC, G 13/1, Street 110","Open 24 hours","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGXm-pWJQx5osvRKIuBT77ct3tbjEabuDnyQUxa-yCThOpQzNImghP4LCvR4fYVRJh5kXuBEl5zxSteSgveAfcmMu8KR_79blaZYKeRWRSaL08jQ1FlBd5dkb921TQoyZefrle4=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The","dentist","explained each step in detail, and I didn’t feel any pain.""","","",""
"https://www.google.com/maps/place/Perfect+32+Dental+Clinic+%26+Dentist+Islamabad/data=!4m7!3m6!1s0x38df9900261fd037:0x724d6f8607f72158!8m2!3d33.6124493!4d72.8683183!16s%2Fg%2F11w92mf2_b!19sChIJN9AfJgCZ3zgRWCH3B4ZvTXI?authuser=0&hl=en&rclk=1","Perfect 32 Dental Clinic & Dentist Islamabad","4.9","(86)","Dental clinic","·","·","Open 24 hours","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGyWxdcBiKxcbuO44ZhFYjlsU6MEvvASAFW1VRwI5uItFx1dRvlYDhwuTsId78lmsct2KaAM_1F4jIdvBQMGId54hfPbtI6SIK55nRARF8jXjHWbw9ZV7SjIn8CyFBuGsm4ulM8rM98hlAP=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""My","dental","work was done perfectly — painless, quick, and with great results!""","","Ground Floor Al, Harmain Plaza",""
"https://www.google.com/maps/place/Dental+Parlor+and+Implant+Clinic/data=!4m7!3m6!1s0x38df97caa40642bd:0x765b9434734489a0!8m2!3d33.6564934!4d72.9667539!16s%2Fg%2F11mnmj8cj9!19sChIJvUIGpMqX3zgRoIlEczSUW3Y?authuser=0&hl=en&rclk=1","Dental Parlor and Implant Clinic","4.9","(589)","Dental clinic","·","·","Closed","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH1TeZaq1R56lPNavmYj2QQ_LiEBAWzmorzWO7UO32IohSlNbGc2Y2ZbphaXO9l6dwMU1Dy5RSkeXInjQnfbH45l5cKtS71P13UZQpSWMOdZSZJSCPh3t3QgH7MdHgNZMISwbcqXw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""My teeth are now perfectly aligned, and my smile has never looked better.""","","","","Street 169","· Opens 12 PM"
"https://www.google.com/maps/place/Capital+Dental+Clinic+Islamabad/data=!4m7!3m6!1s0x38df971b21c9df0d:0xf1945cb0ba345dc7!8m2!3d33.6498177!4d72.9764482!16s%2Fg%2F11v03zcvgl!19sChIJDd_JIRuX3zgRx100urBclPE?authuser=0&hl=en&rclk=1","Capital Dental Clinic Islamabad","4.9","(69)","Dental clinic","·","JXXG+WHQ, Hussain road","Closed","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFL4YVOSdrFOCgOTRNJao-qm3kSglANgzN-ZXiKGle3dGss-hGAb0ArZILTpEvnJynTsRq8004rzb4a3PzqxAcdQ80IpXsfoksk-tN7IG4yHmAjxQ5aAoDds6dd7flGN_tGY6D7RQ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Highly recommended for any kind of","dental","procedure.""","","","· Opens 11 AM"
"https://www.google.com/maps/place/OraDent+Dental+Clinic+Islamabad+%28I8%29/data=!4m7!3m6!1s0x38df9547a2b41451:0x9388768c64116718!8m2!3d33.6667371!4d73.0759601!16s%2Fg%2F11svm8msf4!19sChIJURS0okeV3zgRGGcRZIx2iJM?authuser=0&hl=en&rclk=1","OraDent Dental Clinic Islamabad (I8)","4.9","(348)","Dental clinic","·","·","Open 24 hours","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGeU0fiEfPZsSs_LOzIL3ohh0K8hzFV35P1ym9rwCwzGuvJRFnrVQ_xq7M9EEHE3HON0B7DtErmEv4QypSzVDZPRIswv93f6nDE9766pwobqvCBvg4tl7jUXhC5AhODDCeeba5Z25HrbbnH=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr. Kaynat did a great job with my teeth cleaning—professional and smooth.""","","","","Shop No #07, Pakland Business Center, Markaz, behind Allied Bank, below Albarka Bank",""
"https://www.google.com/maps/place/Tooth+Crew+Clinic/data=!4m7!3m6!1s0x38dfbf7166e72585:0xf2920d3f52898129!8m2!3d33.6939448!4d73.0116197!16s%2Fg%2F11q2hzwqc4!19sChIJhSXnZnG_3zgRKYGJUj8NkvI?authuser=0&hl=en&rclk=1","Tooth Crew Clinic","4.7","(177)","Dental clinic","·","House No, 7 Sumbal Rd","Open 24 hours","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG4Ahqc21Zb6HCs9XPnK2iu4alq5BCD5-bZsHuZpLE5FskJJep0NYfxZHPuRrHMil3eYEY96NoEfPwOOIwAkv-LK6u0Zj8Sf8_Jg1xsNr-tiIN0b51WEb5cYQAw6m4KBC1JoXTqU1y_DRVZ=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Even she saved my teeth and done a root canal and saved my teeth.""","","","","",""
"https://www.google.com/maps/place/Islamabad+Aesthetic+and+Dental+Clinic/data=!4m7!3m6!1s0x38df97002088615b:0xcfdcd88818ef89a1!8m2!3d33.6350192!4d72.9239297!16s%2Fg%2F11ytv_7ft1!19sChIJW2GIIACX3zgRoYnvGIjY3M8?authuser=0&hl=en&rclk=1","Islamabad Aesthetic and Dental Clinic","5.0","(68)","Dental clinic","·","06 Main Double Road","Closed","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG3X0E3N_ys7wPMSVMNq3uifA1OD7pPT0kx_Dx1Uws1xvImcx05f9JQ4J-L27P3vKIEvk0v4mQwhwwG13oIlv5gdNa5scMUIQwe3Sc3tkw6RnQzTMApMLINCWmfph1Hb8B1PJVVhDn72dTy=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The","dentist","did my root canal really perfectly.""","","","· Opens 10 AM"
"https://www.google.com/maps/place/Smile+Dental+Care+Clinic/data=!4m7!3m6!1s0x38df9509a894ebfb:0x4da28f1d67338919!8m2!3d33.668522!4d72.9970727!16s%2Fg%2F11pc9n2__y!19sChIJ--uUqAmV3zgRGYkzZx2Pok0?authuser=0&hl=en&rclk=1","Smile Dental Care Clinic","4.8","(296)","Dental clinic","·","·","Closed","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEVQEbtJgxcTbkZ7ORJa70pJHjb8W1u-6u2wEa6YwvheX94lbyfHDJwkHh7C3d6v0ft86ZL9w_T1NgKiTUIEXMP3wrPD7uiKDkD7BzAvTHL_vsenQZQu7V78-t87mR6qpjrRlv56w=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""My teeth look natural, clean, and confident again.""","","","","first floor suit 2, shahnawaz plaza, Smile dental care clinic, Sachal Sarmast Rd","· Opens 11 AM"
