"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","doJOZc","W4Efsd 7","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Dental+Specialists+of+Islamabad/data=!4m7!3m6!1s0x38dfbfbf50c8298f:0xd61525b73af0fa4f!8m2!3d33.715167!4d73.032976!16s%2Fg%2F11vysqxmy_!19sChIJjynIUL-_3zgRT_rwOrclFdY?authuser=0&hl=en&rclk=1","Dental Specialists of Islamabad","4.7","(74)","Dental clinic","·","Street 21","Closed","· Opens 11 AM","·","(051) 8311811","https://www.google.com/aclk?sa=L&ai=DChsSEwiz6vil05SVAxXkl1AGHTytCosYACICCAEQBBoCZGc&co=1&ase=2&gclid=CjwKCAjw0dPRBhAPEiwAE5vTTqCwOeosg-NowzQd2stBL0mseWMFcK9KWauqE0NUQfMyeZtIy1YysRoC8bQQAvD_BwE&cid=CAAS0wHkaHhVF5E3vrCsbA3suSF_lbGtuG4jkVXhHKa-LhM1SorRq-rdPbACUV8tZrpBydSdK0vpEwzWw9Y4w9VlOCivpQTiViTXDNUsKLASQ855UYlhA9Et4AyAPNutADFXuKftmtGNiNSSrmpPOq42ETaQKCHkkMdYSRqj00cRs5sWGSNKf6Kuj9lGExK02ppreFJULjeEVvXo3xpCp4DK42IAIPEEchjhTlieOSKWPoNthadI5AIExgzQ4_kMdMX3C3LL9F5N46QPk0CZ9JsaPSDYdddd&cce=2&category=acrcp_v1_32&sig=AOD64_2b1XFvIfqhDYGZmdJN1zsiRVn6Bw&adurl&q&ctype=99&nis=6","","Website","","Directions","","","","","",""
"https://www.google.com/maps/place/Dr.+Ammar+%26+Associates+%7C+Dental+Practice/data=!4m7!3m6!1s0x38dfedf2293ce6b3:0x7a710ebf08ae7050!8m2!3d33.566913!4d73.13159!16s%2Fg%2F11r7155j62!19sChIJs-Y8KfLt3zgRUHCuCL8OcXo?authuser=0&hl=en&rclk=1","Dr. Ammar & Associates | Dental Practice","4.8","(127)","Dental clinic","·","behind Tandoori restaurant","Closed","· Opens 5 PM","·","0332 0655501","https://www.google.com/aclk?sa=L&ai=DChsSEwiz6vil05SVAxXkl1AGHTytCosYACICCAEQARoCZGc&co=1&ase=2&gclid=CjwKCAjw0dPRBhAPEiwAE5vTTuR8rf7Y4Tzz1LwYy3zpaAoYAul4PnMnTrhnlcC-YBNBa6JPmawbmBoC26UQAvD_BwE&cid=CAAS0wHkaHhVF5E3vrCsbA3suSF_lbGtuG4jkVXhHKa-LhM1SorRq-rdPbACUV8tZrpBydSdK0vpEwzWw9Y4w9VlOCivpQTiViTXDNUsKLASQ855UYlhA9Et4AyAPNutADFXuKftmtGNiNSSrmpPOq42ETaQKCHkkMdYSRqj00cRs5sWGSNKf6Kuj9lGExK02ppreFJULjeEVvXo3xpCp4DK42IAIPEEchjhTlieOSKWPoNthadI5AIExgzQ4_kMdMX3C3LL9F5N46QPk0CZ9JsaPSDYdddd&cce=2&category=acrcp_v1_32&sig=AOD64_0Q5j_lbNHwiUWVw79wNJOALlCU-Q&adurl&q&ctype=99&nis=6","","Website","","Directions","","","","","",""
"https://www.google.com/maps/place/Zainab+Medical+%26+Dental+Clinic/data=!4m7!3m6!1s0x38dfed4d9de0aa91:0xb2214d39576b9a57!8m2!3d33.5684265!4d73.1394027!16s%2Fg%2F11p_7cbcct!19sChIJkargnU3t3zgRV5prVzlNIbI?authuser=0&hl=en&rclk=1","Zainab Medical & Dental Clinic","4.8","(463)","Dental clinic","·","·","Main PWD Rd, opposite bank alfalah","Closed","· Opens 10:30 AM","+92 343 5485407","https://zainabclinics.com/","","Website","","Directions","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr Maria did my scaling and polishing, and it was a very relaxed experience.""","",""
"https://www.google.com/maps/place/Iqra+Dental+Clinic/data=!4m7!3m6!1s0x38dfed903ddcc58f:0x8d885a37f855831b!8m2!3d33.564929!4d73.1271627!16s%2Fg%2F11k2z5mp7c!19sChIJj8XcPZDt3zgRG4NV-DdaiI0?authuser=0&hl=en&rclk=1","Iqra Dental Clinic","4.8","(91)","Dental clinic","·","Shop-5 , TARIQ ARCADE, MAIN Main PWD Rd, opposite CITI LAB","Open","· Closes 10 PM","·","+92 336 6955556","","","Directions","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""I had a root canal and crown treatment and i felt minimal pain.""","",""
"https://www.google.com/maps/place/DOD+Clinics+-+Best+Dental+and+Dermatology+clinic+in+pwd/data=!4m7!3m6!1s0x38dfec500f05c0ef:0x4cdcee71dffe2ce6!8m2!3d33.5718125!4d73.1459375!16s%2Fg%2F11dxr4rkz2!19sChIJ78AFD1Ds3zgR5iz-33Hu3Ew?authuser=0&hl=en&rclk=1","DOD Clinics - Best Dental and Dermatology clinic in pwd","4.9","(267)","Dental clinic","·","·","Chinar Plaza","Closed","· Opens 10 AM","+92 342 5155686","https://linktr.ee/dodclinic?utm_source=linktree_profile_share&ltsid=b6985eff-af4e-4e4c-b8af-23bd9440a8fd","","Website","","Directions","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The","dental","staff especially Dr.Usman Azam is skilled and experienced, too."""
"https://www.google.com/maps/place/Smile+Arc+%7C+Dental+Clinic+in+PWD/data=!4m7!3m6!1s0x38dfed899fc5d38f:0xeec0a65938215e06!8m2!3d33.5654719!4d73.1275788!16s%2Fg%2F11tbz4bcwl!19sChIJj9PFn4nt3zgRBl4hOFmmwO4?authuser=0&hl=en&rclk=1","Smile Arc | Dental Clinic in PWD","5.0","(91)","Dental clinic","·","·","Closed","· Opens 12 PM","Office#1, Phantom Plaza, Main PWD Rd","+92 330 3087846","","","Directions","","","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They did an excellent job fixing my partially broken teeth;""","",""
"https://www.google.com/maps/place/The+dentist+by+Dr+Saqba+Hassan+Afridi/data=!4m7!3m6!1s0x38dfedd16b4e6f2d:0x462dc264c0382284!8m2!3d33.565248!4d73.127187!16s%2Fg%2F11lh50qmc1!19sChIJLW9Oa9Ht3zgRhCI4wGTCLUY?authuser=0&hl=en&rclk=1","The dentist by Dr Saqba Hassan Afridi","4.7","(125)","Dental clinic","·","·","Closed","· Opens 10 AM","Police foundation 09","+92 332 5440403","","","Directions","","","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Got my rct and crowns done
Excellent result and satisfied""","",""
"https://www.google.com/maps/place/Mansoor+Dental+Orthodontic+Centre/data=!4m7!3m6!1s0x38df94d2d98d2baf:0x6e3baa2253df43ec!8m2!3d33.5667354!4d73.1325179!16s%2Fg%2F12mkzjn_1!19sChIJryuN2dKU3zgR7EPfUyKqO24?authuser=0&hl=en&rclk=1","Mansoor Dental Orthodontic Centre","4.7","(147)","Dental clinic","·","Main road pwd, opp. National Bank","Closed","· Opens 11 AM","·","+92 51 5194567","","","Directions","","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""I got my teeth cleaned and whitening done here, and the results are amazing!""","",""
